Background,box_A1,box_A2,box_A3,box_A4,box_B1,box_B2,box_B3,box_B4,box_C1,box_C2,box_C3,box_C4,box_D1,box_D2,box_D3,box_D4,Sound,corr_loc,wrong_loc,directortask_loop.thisRepN,directortask_loop.thisTrialN,directortask_loop.thisN,directortask_loop.thisIndex,piece.moved,piece.moved.start,piece.moved.end,background.started,background.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,B1.started,B1.stopped,B2.started,B2.stopped,B3.started,B3.stopped,B4.started,B4.stopped,C1.started,C1.stopped,C2.started,C2.stopped,C3.started,C3.stopped,C4.started,C4.stopped,D1.started,D1.stopped,D2.started,D2.stopped,D3.started,D3.stopped,D4.started,D4.stopped,soundfile.started,soundfile.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/home/delta/Desktop/meta/directortask/materials/imgs/ig2.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/mediumcup.png,/home/delta/Desktop/meta/directortask/materials/imgs/sodacan1.png,/home/delta/Desktop/meta/directortask/materials/imgs/sodacan3.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/rhino.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/golfball.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/airplane.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/panda.png,/home/delta/Desktop/meta/directortask/materials/imgs/sodacan2.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig2dev1.wav,None,None,0,0,0,21,/home/delta/Desktop/meta/directortask/materials/imgs/sodacan3.png,B2,"('C2',)",9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.413245916366577,None,9.402778100967407,None,[-0.12890625],[-0.010416667],[1],[0],[0],[2.951422929763794],0.01170802116394043,None,,001,2022_gen_24_2007,directortask_ALF_bis,2021.2.3,61.175166491156936,
/home/delta/Desktop/meta/directortask/materials/imgs/ig2.png,/home/delta/Desktop/meta/directortask/materials/imgs/wallet.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/mediumblock.png,/home/delta/Desktop/meta/directortask/materials/imgs/glasses2.png,/home/delta/Desktop/meta/directortask/materials/imgs/sock1.png,None,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/teddy.png,/home/delta/Desktop/meta/directortask/materials/imgs/sock2.png,/home/delta/Desktop/meta/directortask/materials/imgs/camera.png,/home/delta/Desktop/meta/directortask/materials/imgs/watch.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/ig2kcv2.wav,None,None,0,1,1,61,/home/delta/Desktop/meta/directortask/materials/imgs/camera.png,D1,"('C1',)",13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.576744079589844,None,13.557168197631835,None,[0.14583333],[0.123697914],[1],[0],[0],[2.5727880001068115],0.012726306915283203,None,,001,2022_gen_24_2007,directortask_ALF_bis,2021.2.3,61.175166491156936,
/home/delta/Desktop/meta/directortask/materials/imgs/ig4.png,/home/delta/Desktop/meta/directortask/materials/imgs/dice2.png,/home/delta/Desktop/meta/directortask/materials/imgs/egg.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/dice1.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/banana.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/bikepump.png,/home/delta/Desktop/meta/directortask/materials/imgs/baby.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/sodacan2.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/dice3.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/ig4pev3.wav,None,None,0,2,2,95,/home/delta/Desktop/meta/directortask/materials/imgs/dice1.png,A4,"('B4',)",16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.98468804359436,None,16.954489946365356,None,[-0.24609375],[-0.2903646],[1],[0],[0],[4.398301124572754],0.015411853790283203,None,,001,2022_gen_24_2007,directortask_ALF_bis,2021.2.3,61.175166491156936,
/home/delta/Desktop/meta/directortask/materials/imgs/ig1.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/mediumcup.png,/home/delta/Desktop/meta/directortask/materials/imgs/paintbrush.png,/home/delta/Desktop/meta/directortask/materials/imgs/smallcup.png,/home/delta/Desktop/meta/directortask/materials/imgs/apple1.png,/home/delta/Desktop/meta/directortask/materials/imgs/tie.png,None,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/person.png,/home/delta/Desktop/meta/directortask/materials/imgs/deckofcards.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/bigcup.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig1bev1.wav,None,None,0,3,3,9,/home/delta/Desktop/meta/directortask/materials/imgs/person.png,D1,"('C1',)",21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.749814987182617,None,21.718631649017333,None,[0.1328125],[0.16276042],[1],[0],[0],[2.9220268726348877],0.005511760711669922,None,,001,2022_gen_24_2007,directortask_ALF_bis,2021.2.3,61.175166491156936,
/home/delta/Desktop/meta/directortask/materials/imgs/ig3.png,/home/delta/Desktop/meta/directortask/materials/imgs/tiger.png,/home/delta/Desktop/meta/directortask/materials/imgs/holepuncher2.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/keys2.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/candy.png,/home/delta/Desktop/meta/directortask/materials/imgs/tennisball.png,/home/delta/Desktop/meta/directortask/materials/imgs/pipe.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/camerafilm.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/keys1.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/ig3mcv1.wav,None,None,0,4,4,72,/home/delta/Desktop/meta/directortask/materials/imgs/pipe.png,C2,"('D1',)",25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.521782875061035,None,25.490114402770995,None,[-0.0026041667],[-0.015625],[1],[0],[0],[2.4300899505615234],0.0034134387969970703,None,,001,2022_gen_24_2007,directortask_ALF_bis,2021.2.3,61.175166491156936,
/home/delta/Desktop/meta/directortask/materials/imgs/ig3.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/panda.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/apple2.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/bigcup.png,/home/delta/Desktop/meta/directortask/materials/imgs/tie.png,/home/delta/Desktop/meta/directortask/materials/imgs/grater.png,None,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/apple1.png,/home/delta/Desktop/meta/directortask/materials/imgs/holidaycard.png,/home/delta/Desktop/meta/directortask/materials/imgs/apple3.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig3nev3.wav,None,None,0,5,5,83,/home/delta/Desktop/meta/directortask/materials/imgs/apple2.png,B1,"('A2',)",30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,30.000684022903442,None,29.964313554763795,None,[-0.13802083],[0.12630208],[1],[0],[0],[5.583522796630859],0.0015285015106201172,None,,001,2022_gen_24_2007,directortask_ALF_bis,2021.2.3,61.175166491156936,
/home/delta/Desktop/meta/directortask/materials/imgs/ig4.png,/home/delta/Desktop/meta/directortask/materials/imgs/tractor.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/basketball.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/champagneglasses.png,/home/delta/Desktop/meta/directortask/materials/imgs/tennisball.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/keys1.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/spatula.png,/home/delta/Desktop/meta/directortask/materials/imgs/airplane.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/cow.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig4fcv1.wav,None,None,0,6,6,36,/home/delta/Desktop/meta/directortask/materials/imgs/basketball.png,A4,"('B4',)",38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.04599905014038,None,38.016382932662964,None,[-0.25],[-0.29296875],[1],[0],[0],[2.8577051162719727],0.009003877639770508,None,,001,2022_gen_24_2007,directortask_ALF_bis,2021.2.3,61.175166491156936,
/home/delta/Desktop/meta/directortask/materials/imgs/ig1.png,/home/delta/Desktop/meta/directortask/materials/imgs/screwdriver.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/mediumcandle.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/wallet.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/lipstick.png,/home/delta/Desktop/meta/directortask/materials/imgs/bigblock.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/smallblock.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/person.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/tape.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig1acv4.wav,None,None,0,7,7,2,/home/delta/Desktop/meta/directortask/materials/imgs/smallblock.png,C3,"('B3',)",41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.71507906913757,None,41.689915370941165,None,[-0.00390625],[-0.15494792],[1],[0],[0],[4.074267148971558],0.013346433639526367,None,,001,2022_gen_24_2007,directortask_ALF_bis,2021.2.3,61.175166491156936,
