Background,box_A1,box_A2,box_A3,box_A4,box_B1,box_B2,box_B3,box_B4,box_C1,box_C2,box_C3,box_C4,box_D1,box_D2,box_D3,box_D4,Sound,corr_loc,wrong_loc,directortask_loop.thisRepN,directortask_loop.thisTrialN,directortask_loop.thisN,directortask_loop.thisIndex,background.started,background.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,B1.started,B1.stopped,B2.started,B2.stopped,B3.started,B3.stopped,B4.started,B4.stopped,C1.started,C1.stopped,C2.started,C2.stopped,C3.started,C3.stopped,C4.started,C4.stopped,D1.started,D1.stopped,D2.started,D2.stopped,D3.started,D3.stopped,D4.started,D4.stopped,soundfile.started,soundfile.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/home/delta/Desktop/meta/directortask/materials/imgs/ig1.png,/home/delta/Desktop/meta/directortask/materials/imgs/hairbrush1.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/canopener.png,/home/delta/Desktop/meta/directortask/materials/imgs/fox.png,/home/delta/Desktop/meta/directortask/materials/imgs/scissors1.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/rhino.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/bow.png,/home/delta/Desktop/meta/directortask/materials/imgs/hairbrush3.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/mouse.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/ig1icv3.wav,None,None,0,0,0,50,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.73426103591919,None,8.713454151153565,None,[-0.26302084],[-0.16666667],[1],[0],[0],[3.5076241493225098],0.0006992816925048828,None,,001,2022_gen_24_1942,directortask_ALF_bis,2021.2.3,59.124335357567766,
/home/delta/Desktop/meta/directortask/materials/imgs/ig2.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/pipe.png,/home/delta/Desktop/meta/directortask/materials/imgs/car2.png,/home/delta/Desktop/meta/directortask/materials/imgs/hairbrush1.png,/home/delta/Desktop/meta/directortask/materials/imgs/car1.png,None,None,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/syringe2.png,/home/delta/Desktop/meta/directortask/materials/imgs/car3.png,/home/delta/Desktop/meta/directortask/materials/imgs/camerafilm.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/candy.png,/home/delta/Desktop/meta/directortask/materials/imgs/ig2lev3.wav,None,None,0,1,1,71,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.072789192199707,None,13.05669355392456,None,[-0.2643229],[-0.032552082],[1],[0],[0],[1.1074280738830566],0.01474142074584961,None,,001,2022_gen_24_1942,directortask_ALF_bis,2021.2.3,59.124335357567766,
/home/delta/Desktop/meta/directortask/materials/imgs/ig4.png,/home/delta/Desktop/meta/directortask/materials/imgs/dice2.png,/home/delta/Desktop/meta/directortask/materials/imgs/egg.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/dice1.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/banana.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/bikepump.png,/home/delta/Desktop/meta/directortask/materials/imgs/baby.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/sodacan2.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/mouse.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/ig4pcv3.wav,None,None,0,2,2,92,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.557607173919678,None,15.54344367980957,None,[-0.28125],[0.13541667],[1],[0],[0],[2.842471122741699],0.015148639678955078,None,,001,2022_gen_24_1942,directortask_ALF_bis,2021.2.3,59.124335357567766,
/home/delta/Desktop/meta/directortask/materials/imgs/ig2.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/smallcandle.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/holepuncher1.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/stapler.png,/home/delta/Desktop/meta/directortask/materials/imgs/baby.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/smallblock.png,/home/delta/Desktop/meta/directortask/materials/imgs/car1.png,/home/delta/Desktop/meta/directortask/materials/imgs/mediumcandle.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/bigcandle.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/ig2cev1.wav,None,None,0,3,3,15,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.301625967025757,None,19.281343698501587,None,[0.1328125],[-0.15625],[1],[0],[0],[1.1814439296722412],0.011019706726074219,None,,001,2022_gen_24_1942,directortask_ALF_bis,2021.2.3,59.124335357567766,
/home/delta/Desktop/meta/directortask/materials/imgs/ig1.png,/home/delta/Desktop/meta/directortask/materials/imgs/hairbrush1.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/canopener.png,/home/delta/Desktop/meta/directortask/materials/imgs/fox.png,/home/delta/Desktop/meta/directortask/materials/imgs/scissors1.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/rhino.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/bow.png,/home/delta/Desktop/meta/directortask/materials/imgs/hairbrush3.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/mouse.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/ig1icv2.wav,None,None,0,4,4,49,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.331473112106323,None,21.307276105880735,None,[-0.2903646],[-0.15755208],[1],[0],[0],[1.231816053390503],0.008711814880371094,None,,001,2022_gen_24_1942,directortask_ALF_bis,2021.2.3,59.124335357567766,
/home/delta/Desktop/meta/directortask/materials/imgs/ig3.png,/home/delta/Desktop/meta/directortask/materials/imgs/tiger.png,/home/delta/Desktop/meta/directortask/materials/imgs/holepuncher2.png,None,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/keys2.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/candy.png,/home/delta/Desktop/meta/directortask/materials/imgs/tennisball.png,/home/delta/Desktop/meta/directortask/materials/imgs/pipe.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/camerafilm.png,None,None,/home/delta/Desktop/meta/directortask/materials/imgs/keys1.png,None,/home/delta/Desktop/meta/directortask/materials/imgs/ig3mcv3.wav,None,None,0,5,5,74,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.663640022277832,None,23.64665961265564,None,[0.016927084],[-0.0234375],[1],[0],[0],[1.303335189819336],0.015325546264648438,None,,001,2022_gen_24_1942,directortask_ALF_bis,2021.2.3,59.124335357567766,
